depth,d18O,age
442.2,-53.02,16.159399999999998
442.75,-53.44,16.190749999999998
443.3,-52.93,16.223
443.85,-53.75,16.256
444.4,-52.57,16.2886
444.95,-52.87,16.32105
445.5,-53,16.354
446.05,-53.15,16.387
446.6,-52.93,16.42
447.15,-53.16,16.453
447.7,-53.38,16.486
448.25,-53.59,16.5195
448.8,-52.94,16.5536
449.35,-53.96,16.5884
449.9,-53.38,16.623599999999996
450.45,-53.33,16.65835
451.0,-53.83,16.693
451.55,-54.25,16.72875
452.1,-53.93,16.7648
452.65,-53.31,16.8022
453.2,-53.44,16.8394
453.75,-53.47,16.87625
454.3,-53.38,16.9128
454.85,-54.49,16.9491
455.4,-53.61,16.9866
455.95,-53.37,17.024549999999998
456.5,-53.79,17.0615
457.05,-53.93,17.0982
457.6,-53.73,17.1334
458.15,-54.21,17.169199999999996
458.7,-55.16,17.206599999999998
459.25,-54.19,17.24425
459.8,-54.53,17.2822
460.35,-54.19,17.32085
460.9,-53.92,17.3599
461.45,-55.5,17.3985
462.0,-54.47,17.437
462.55,-55.11,17.4766
463.1,-55.04,17.5163
463.65,-55.19,17.556449999999998
464.2,-55.66,17.5978
464.75,-54.66,17.64125
465.3,-54.81,17.684700000000003
465.85,-55.27,17.72815
466.4,-54.27,17.769599999999997
466.95,-55.3,17.810299999999998
467.5,-54.4,17.851
468.05,-56.04,17.89195
468.6,-55.21,17.9354
469.15,-55.19,17.978849999999998
469.7,-55.76,18.022299999999998
470.25,-55.29,18.06525
470.8,-55.73,18.1076
471.35,-56.03,18.151000000000003
471.9,-56.08,18.194999999999997
472.45,-56.07,18.24215
473.0,-56.22,18.29
473.55,-54.84,18.336750000000002
474.1,-55.54,18.3835
474.65,-56.24,18.430249999999997
475.2,-55.49,18.4764
475.75,-55.5,18.521500000000003
476.3,-55.91,18.5669
476.85,-56.39,18.612550000000002
477.4,-56.23,18.659399999999998
477.95,-55.67,18.706699999999998
478.5,-55.86,18.753999999999998
479.05,-55.55,18.80115
479.6,-55.83,18.8468
480.15,-55.96,18.8923
480.7,-55.91,18.9374
481.25,-55.97,18.983
481.8,-56.15,19.0292
482.35,-56.03,19.076800000000002
482.9,-56.69,19.1252
483.45,-55.4,19.1745
484.0,-55.75,19.224
484.55,-55.04,19.2724
485.1,-56.25,19.320600000000002
485.65,-55.63,19.3679
486.2,-55.98,19.4152
486.75,-55.87,19.462500000000002
487.3,-55.83,19.509500000000003
487.85,-56.15,19.556250000000002
488.4,-55.51,19.602599999999995
488.95,-56.57,19.648799999999998
489.5,-55.9,19.697
490.05,-55.16,19.745350000000002
490.6,-56.71,19.793200000000002
491.15,-56.27,19.840899999999998
491.7,-55.09,19.8882
492.25,-56.07,19.93625
492.8,-55.87,19.985200000000003
493.35,-54.67,20.03205
493.9,-56.07,20.077699999999997
494.45,-55.52,20.122899999999998
495.0,-56.27,20.168
495.55,-55.69,20.215300000000003
496.1,-56.23,20.262800000000002
496.65,-56.18,20.311199999999996
497.2,-56.55,20.36
497.75,-55.96,20.409499999999998
498.3,-56.46,20.459600000000002
498.85,-56.38,20.5102
499.4,-55.6,20.559199999999997
499.95,-55.6,20.607599999999998
500.5,-55.24,20.6545
501.05,-55.95,20.7014
501.6,-56.74,20.7498
502.15,-56.37,20.79865
502.7,-55.53,20.8487
503.25,-55.51,20.897000000000002
503.8,-55.99,20.9432
504.35,-55.59,20.9887
504.9,-56.36,21.0338
505.45,-55.88,21.0798
506.0,-55.88,21.126
506.55,-56.32,21.172200000000004
507.1,-56.31,21.218700000000002
507.65,-56.67,21.26655
508.2,-55.73,21.314
508.75,-55.6,21.360750000000003
509.3,-55.84,21.4066
509.85,-56,21.451700000000002
510.4,-56.24,21.496799999999997
510.95,-56.35,21.5419
511.5,-55.76,21.5885
512.05,-56.09,21.635199999999998
512.6,-56.08,21.681400000000004
513.15,-56.08,21.727899999999998
513.7,-56.03,21.7752
