depth,age
1959,40977
1960,41022
1961,41070
1962,41117
1963,41159
1964,41197
1965,41238
1966,41276
1967,41314
1968,41354
1969,41391
1970,41425
1971,41463
1972,41521
1973,41583
1974,41651
1975,41716
1976,41787
1977,41855
1978,41925
1979,41996
1980,42065
1981,42136
1982,42206
1983,42272
1984,42324
1985,42381
1986,42438
1987,42492
1988,42548
1989,42604
1990,42657
1991,42711
1992,42761
1993,42815
1994,42860
1995,42902
1996,42943
1997,42986
1998,43027
1999,43068
2000,43107
2001,43146
2002,43185
2003,43225
2004,43265
2005,43305
2006,43346
2007,43415
2008,43484
2009,43559
2010,43637
2011,43711
2012,43785
2013,43857
2014,43929
2015,44001
2016,44077
2017,44153
2018,44221
2019,44290
2020,44354
2021,44410
2022,44461
2023,44513
2024,44567
2025,44626
2026,44688
2027,44744
2028,44804
2029,44862
2030,44921
2031,44978
2032,45033
2033,45086
2034,45138
2035,45196
2036,45252
2037,45306
2038,45368
2039,45424
2040,45473
2041,45516
2042,45560
2043,45607
2044,45651
2045,45698
2046,45743
2047,45788
2048,45829
2049,45874
2050,45920
2051,45967
2052,46014
2053,46057
2054,46097
2055,46138
2056,46178
2057,46221
2058,46264
2059,46309
2060,46350
2061,46391
2062,46431
2063,46468
2064,46508
2065,46553
2066,46591
2067,46630
2068,46664
2069,46699
2070,46735
2071,46770
2072,46805
2073,46844
2074,46904
2075,46973
2076,47047
2077,47120
2078,47194
2079,47268
2080,47340
2081,47416
2082,47494
2083,47575
2084,47655
2085,47740
2086,47817
2087,47899
2088,47983
2089,48070
2090,48159
2091,48246
2092,48328
2093,48408
2094,48485
2095,48549
2096,48612
2097,48677
2098,48738
2099,48798
2100,48855
2101,48908
2102,48959
2103,49007
2104,49058
2105,49114
2106,49169
2107,49221
2108,49271
2109,49332
2110,49403
2111,49479
2112,49548
2113,49620
2114,49683
2115,49743
2116,49804
2117,49861
2118,49924
2119,49985
2120,50051
2121,50112
2122,50172
2123,50233
2124,50295
2125,50356
2126,50415
2127,50477
2128,50535
2129,50592
2130,50652
2131,50708
2132,50768
2133,50826
2134,50886
2135,50944
2136,51004
2137,51063
2138,51121
2139,51178
2140,51237
2141,51295
2142,51351
2143,51407
2144,51467
2145,51531
2146,51589
2147,51651
2148,51709
2149,51761
2150,51815
2151,51867
2152,51920
2153,51979
2154,52041
2155,52106
2156,52166
2157,52227
2158,52287
2159,52343
2160,52403
2161,52460
2162,52514
2163,52571
2164,52628
2165,52684
2166,52738
2167,52794
2168,52848
2169,52906
2170,52961
2171,53018
2172,53076
2173,53131
2174,53189
2175,53247
2176,53303
2177,53357
2178,53410
2179,53463
2180,53520
2181,53572
2182,53624
2183,53677
2184,53732
2185,53785
2186,53840
2187,53890
2188,53942
2189,54007
2190,54062
2191,54116
2192,54172
2193,54222
2194,54306
2195,54390
2196,54485
2197,54583
2198,54678
2199,54778
2200,54864
2201,54939
2202,55002
2203,55099
2204,55203
2205,55309
2206,55407
2207,55475
2208,55543
2209,55609
2210,55666
2211,55725
2212,55799
2213,55888
2214,55990
2215,56086
2216,56185
2217,56283
2218,56378
2219,56463
2220,56547
2221,56624
2222,56694
2223,56761
2224,56831
2225,56905
2226,56979
2227,57053
2228,57122
2229,57196
2230,57267
2231,57341
2232,57414
2233,57483
2234,57554
2235,57620
2236,57681
2237,57748
2238,57809
2239,57866
2240,57928
2241,57998
2242,58062
2243,58148
2244,58210
2245,58267
2246,58346
2247,58434
2248,58532
2249,58607
2250,58671
2251,58728
2252,58796
2253,58867
2254,58929
2255,58990
2256,59043
2257,59113
2258,59206
2259,59300
2260,59360
2261,59410
2262,59476
2263,59573
2264,59675
2265,59774
2266,59874
2267,59980
2268,60084
2269,60181
2270,60297
2271,60415
2272,60533
2273,60652
2274,60770
2275,60888
2276,61007
2277,61125
2278,61243
2279,61362
2280,61480
2281,61598
2282,61717
2283,61835
2284,61953
2285,62072
2286,62190
2287,62308
2288,62427
2289,62545
2290,62663
2291,62781
2292,62900
2293,63018
2294,63136
2295,63255
2296,63373
2297,63491
2298,63610
2299,63728
2300,63846
2301,63958
2302,64065
2303,64211
2304,64356
2305,64501
2306,64646
2307,64791
2308,64937
2309,65082
2310,65227
2311,65372
2312,65518
2313,65663
2314,65808
2315,65953
2316,66098
2317,66244
2318,66389
2319,66534
2320,66679
2321,66825
2322,66970
2323,67115
2324,67260
2325,67405
2326,67551
2327,67696
2328,67841
2329,67986
2330,68132
2331,68277
2332,68422
2333,68567
2334,68700
2335,68831
2336,68963
2337,69094
2338,69226
2339,69357
2340,69489
2341,69590
2342,69741
2343,69906
2344,70051
2345,70165
2346,70279
2347,70394
2348,70508
2349,70623
2350,70737
2351,70852
2352,70966
2353,71081
2354,71195
2355,71310
2356,71424
2357,71538
2358,71632
2359,71713
2360,71795
2361,71920
2362,72046
2363,72171
2364,72296
2365,72422
2366,72547
2367,72672
2368,72798
2369,72923
2370,73048
2371,73173
2372,73299
2373,73424
2374,73549
2375,73675
2376,73800
2377,73925
2378,74051
2379,74176
2380,74301
2381,74427
2382,74536
2383,74631
2384,74718
2385,74801
2386,74884
2387,74967
2388,75050
2389,75131
2390,75212
2391,75294
2392,75375
2393,75456
2394,75535
2395,75609
2396,75683
2397,75756
2398,75830
2399,75904
2400,75980
2401,76081
2402,76182
2403,76284
2404,76385
2405,76486
2406,76587
2407,76688
2408,76789
2409,76891
2410,76992
2411,77093
2412,77194
2413,77295
2414,77397
2415,77498
2416,77599
2417,77700
2418,77801
2419,77903
2420,78004
2421,78101
2422,78197
2423,78292
2424,78388
2425,78480
2426,78569
2427,78658
2428,78746
2429,78833
2430,78909
2431,78986
2432,79063
2433,79140
2434,79222
2435,79314
2436,79405
2437,79497
2438,79588
2439,79678
2440,79768
2441,79858
2442,79948
2443,80039
2444,80126
2445,80210
2446,80294
2447,80378
2448,80462
2449,80546
2450,80629
2451,80710
2452,80791
2453,80871
2454,80948
2455,81026
2456,81103
2457,81180
2458,81255
2459,81330
2460,81405
2461,81480
2462,81553
2463,81625
2464,81698
2465,81770
2466,81842
2467,81914
2468,81986
2469,82059
2470,82131
2471,82205
2472,82279
2473,82354
2474,82429
2475,82504
2476,82579
2477,82653
2478,82728
2479,82804
2480,82879
2481,82954
2482,83026
2483,83097
2484,83166
2485,83238
2486,83312
2487,83385
2488,83457
2489,83530
2490,83603
2491,83675
2492,83748
2493,83821
2494,83893
2495,83966
2496,84039
2497,84112
2498,84187
2499,84261
2500,84335
